titleComplete,genres
Developmental Regionalism and Economic Transformation in Southern Africa,
"My Daughter, My Blood",
Lucidity of Absurdity,
Habiba,
How Not to Be a Nigerian,
Hijos del balón,
Globetrotter & Hitler's Children,
God of Poetry,
The Unfinished Revolution in Nigeria's Niger Delta: Prospects for Environmental Justice and Peace,
Imagination's Many Rooms,
Teardrops on the Weser,
In the Midst of Loafers,
BOOM BOOM,
Hightower: Ibhayu Poetry,
The Heresiad,
Didi Kanu and the Singing Dwarfs of the North,
Sankara,
Exotica Celestica: A Collection of Poems,
Your Heart Will Skip A Beat And Other Stories (Writivism Flash Fiction Anthology),
In the Wings of Waiting,
Sex Is A Nigger's Game: A Novel,
Where I Was Born,
Juju,
A Black Boy at Eton,nonfiction
A Black Boy at Eton,autobiography
A Black Boy at Eton,race
A Black Boy at Eton,memoir
Chief Onyeama: The Story of an African God: A Biography,
Revenge Of The Medicine Man,
The Lion and the Monkey,
John Bull's Nigger,
Godfathers of voodoo: A novel,
Juju: A novel,
Nigger At Eton,
I'm Judging You: The Do-Better Manual,feminism
I'm Judging You: The Do-Better Manual,self help
I'm Judging You: The Do-Better Manual,audiobook
I'm Judging You: The Do-Better Manual,nonfiction
I'm Judging You: The Do-Better Manual,adult
I'm Judging You: The Do-Better Manual,humor
I'm Judging You: The Do-Better Manual,comedy
I'm Judging You: The Do-Better Manual,essays
I'm Judging You: The Do-Better Manual,race
I'm Judging You: The Do-Better Manual,memoir
The return,
"Hungry Hearts: Essays on Courage, Desire, and Belonging",self help
"Hungry Hearts: Essays on Courage, Desire, and Belonging",audiobook
"Hungry Hearts: Essays on Courage, Desire, and Belonging",biography
"Hungry Hearts: Essays on Courage, Desire, and Belonging",nonfiction
"Hungry Hearts: Essays on Courage, Desire, and Belonging",writing
"Hungry Hearts: Essays on Courage, Desire, and Belonging",anthologies
"Hungry Hearts: Essays on Courage, Desire, and Belonging",essays
"Hungry Hearts: Essays on Courage, Desire, and Belonging",biography memoir
"Hungry Hearts: Essays on Courage, Desire, and Belonging",memoir
"Hungry Hearts: Essays on Courage, Desire, and Belonging",short stories
Little Troublemaker Makes a Mess,
Rising Troublemaker: A Fear-Fighter Manual for Teens,self help
Rising Troublemaker: A Fear-Fighter Manual for Teens,nonfiction
The Fear-Fighter Manual: Lessons from a Professional Troublemaker,
Handbuch für Unruhestifterinnen: Feier deine Stärken – und zwar laut!,
Bed 26: A Memoir of an African Man’s Asylum in the United States,nonfiction
Bed 26: A Memoir of an African Man’s Asylum in the United States,memoir
Edojah: Risking it all for freedom,
Professional Troublemaker: The Fear-Fighter Manual,business
Professional Troublemaker: The Fear-Fighter Manual,self help
Professional Troublemaker: The Fear-Fighter Manual,audiobook
Professional Troublemaker: The Fear-Fighter Manual,nonfiction
Professional Troublemaker: The Fear-Fighter Manual,psychology
Professional Troublemaker: The Fear-Fighter Manual,leadership
Professional Troublemaker: The Fear-Fighter Manual,humor
Professional Troublemaker: The Fear-Fighter Manual,personal development
Professional Troublemaker: The Fear-Fighter Manual,inspirational
Professional Troublemaker: The Fear-Fighter Manual,memoir
Compassion is Worth More!: Using your civil power to create change,
A State Of Our Own,
"They Eat Our Sweat: Transport Labor, Corruption, and Everyday Survival in Urban Nigeria",
Salutes Without Guns,
Farad,
The Sound of Things to Come,
Black Girls Rock!: Owning Our Magic. Rocking Our Truth.,feminism
Black Girls Rock!: Owning Our Magic. Rocking Our Truth.,audiobook
Black Girls Rock!: Owning Our Magic. Rocking Our Truth.,biography
Black Girls Rock!: Owning Our Magic. Rocking Our Truth.,nonfiction
Black Girls Rock!: Owning Our Magic. Rocking Our Truth.,adult
Black Girls Rock!: Owning Our Magic. Rocking Our Truth.,anthologies
Black Girls Rock!: Owning Our Magic. Rocking Our Truth.,womens
Black Girls Rock!: Owning Our Magic. Rocking Our Truth.,essays
Black Girls Rock!: Owning Our Magic. Rocking Our Truth.,race
Gambit: Newer African Writing,
Wrong Ones in the Dock,
Lo sguardo di uno sconosciuto (GliAltri) (Italian Edition),
"I Am Still With You: A Reckoning with Silence, Inheritance, and History",nonfiction
"I Am Still With You: A Reckoning with Silence, Inheritance, and History",biography memoir
"I Am Still With You: A Reckoning with Silence, Inheritance, and History",memoir
"I Am Still With You: A Reckoning with Silence, Inheritance, and History",history
Across the Multi-verse,
Counting The Seconds,
Locusts,
Onitsha Market Literature,
"Culture, Tradition and Society in the West African Novel",
Broken Lives and Other Stories,
An African Popular Literature: A Study of Onitsha Market Pamphlets,
Language and Theme,
"The University Of Nigeria, 1960 1985:  An Experiment In Higher Education",
Asylum: A Memoir & Manifesto,autobiography
Asylum: A Memoir & Manifesto,audiobook
Asylum: A Memoir & Manifesto,biography
Asylum: A Memoir & Manifesto,nonfiction
Asylum: A Memoir & Manifesto,research
Asylum: A Memoir & Manifesto,queer
Asylum: A Memoir & Manifesto,biography memoir
Asylum: A Memoir & Manifesto,memoir
Asylum: A Memoir & Manifesto,lgbt
Chika's House,
The Fourth World,
No School For Eze,
Black T-Shirt Collection,plays
Masksong For Our Times,
The Trial and Other Stories,
Neka Goes to Market (Junior African Writers),
Ƴar Tsana,
Only Bread For Eze,
Lakiriboto Chronicles: A History of Badly Behaved Women,contemporary
Lakiriboto Chronicles: A History of Badly Behaved Women,fiction
Lakiriboto Chronicles: A History of Badly Behaved Women,queer
Swallow; Efunsetan Aniwuran,
Patron of Terror,
Behind the Clouds,
"Cronies (Tammy Series, #3)",
Play,
PATRON OF TERROR (Tammy Peterside Series Book 2),
Emeka's Gift: An African Counting Story,nonfiction
Emeka's Gift: An African Counting Story,picture books
Emeka's Gift: An African Counting Story,counting
Emeka's Gift: An African Counting Story,mathematics
Emeka's Gift: An African Counting Story,childrens
Emeka's Gift: An African Counting Story,cultural
A Murder in Clovelly: Safe House Short Story Singles,
Upshot Anthology,
Eno's Story,
We Forever Crouch In Fear,
African Gender Studies: A Reader,feminism
African Gender Studies: A Reader,theory
African Gender Studies: A Reader,lgbt
ADA's Daughter,
"""A"" Is for Africa",nonfiction
"""A"" Is for Africa",international
"""A"" Is for Africa",picture books
"""A"" Is for Africa",geography
"""A"" Is for Africa",childrens
"""A"" Is for Africa",cultural
"""A"" Is for Africa",history
Our Ghosts Were Once People: Stories on Death and Dying,
"Gender Epistemologies in Africa: Gendering Traditions, Spaces, Social Institutions, and Identities",feminism
"Gender Epistemologies in Africa: Gendering Traditions, Spaces, Social Institutions, and Identities",politics
"Gender Epistemologies in Africa: Gendering Traditions, Spaces, Social Institutions, and Identities",lgbt
"Gender Epistemologies in Africa: Gendering Traditions, Spaces, Social Institutions, and Identities",gender
"Gender Epistemologies in Africa: Gendering Traditions, Spaces, Social Institutions, and Identities",history
New Poets of West Africa,
Dreams of Dusty Roads: New Poems,
"What Gender is Motherhood?: Changing Yorùbá Ideals of Power, Procreation, and Identity in the Age of Modernity",feminism
"What Gender is Motherhood?: Changing Yorùbá Ideals of Power, Procreation, and Identity in the Age of Modernity",academic
"What Gender is Motherhood?: Changing Yorùbá Ideals of Power, Procreation, and Identity in the Age of Modernity",history
African Women & Feminism: Reflecting on the Politics of Sisterhood,feminism
African Women & Feminism: Reflecting on the Politics of Sisterhood,gender studies
African Women & Feminism: Reflecting on the Politics of Sisterhood,nonfiction
The Invention of Women: Making an African Sense of Western Gender Discourses,feminism
The Invention of Women: Making an African Sense of Western Gender Discourses,nonfiction
The Invention of Women: Making an African Sense of Western Gender Discourses,gender
The Invention of Women: Making an African Sense of Western Gender Discourses,womens
The Invention of Women: Making an African Sense of Western Gender Discourses,queer
The Invention of Women: Making an African Sense of Western Gender Discourses,theory
The Invention of Women: Making an African Sense of Western Gender Discourses,academic
The Invention of Women: Making an African Sense of Western Gender Discourses,race
The Invention of Women: Making an African Sense of Western Gender Discourses,history
A Harvest of Gambian Lines: A Poetry Anthology,
Harrow: London Poems of Convalescence,
Dream Kingdom: New and Selected Poems,
Wolof,
Kora Land,
Before the New Earth,
"Once Upon a Kingdom: Myth, Hegemony, and Identity",
The New African Diaspora,philosophy
I Come from a Country,
Not with Silver,
My Name Is Tani . . . and I Believe in Miracles Young Readers Edition,middle grade
My Name Is Tani . . . and I Believe in Miracles Young Readers Edition,childrens
My Name Is Tani . . . and I Believe in Miracles Young Readers Edition,nonfiction
My Name Is Tani . . . and I Believe in Miracles Young Readers Edition,memoir
My Name Is Tani: The Amazing True Story of One Boy's Journey from Refugee to Chess Champion,
The African Diaspora: African Origins and New World Identities,
Love Does Not Win Elections,nonfiction
No Be from Hia,
Break Fast From Her Skin,
Yoruba Girl Dancing,literature
Yoruba Girl Dancing,fiction
Yoruba Girl Dancing,womens
Yoruba Girl Dancing,race
Tani's New Home: A Refugee Finds Hope and Kindness in America,cultural
Tani's New Home: A Refugee Finds Hope and Kindness in America,family
Tani's New Home: A Refugee Finds Hope and Kindness in America,biography
Tani's New Home: A Refugee Finds Hope and Kindness in America,nonfiction
Tani's New Home: A Refugee Finds Hope and Kindness in America,picture books
Tani's New Home: A Refugee Finds Hope and Kindness in America,chess
Tani's New Home: A Refugee Finds Hope and Kindness in America,social justice
